point_of_origin,nearest_point,distance_in_meter
POINT (28.99993 41.04386),POINT (29.0004588 41.0487174),476.91398003948194
POINT (29.00668 41.05726),POINT (28.9995352 41.0557256),805.8890586608765
POINT (29.00222 41.04388),POINT (29.0004588 41.0487174),510.16723687793444
POINT (29.03342 41.08189),POINT (29.03654855 41.07449),799.8751677581187
POINT (29.00166 41.0492),POINT (29.0004588 41.0487174),141.19628889062756
POINT (29.00348 41.04681),POINT (29.0004588 41.0487174),382.9752549554643
POINT (29.00251 41.05679),POINT (28.9995352 41.0557256),345.64126620306365
POINT (29.02268 41.07344000000001),POINT (29.01847813000007 41.07242234200004),476.15417919942763
POINT (29.02107 41.07303),POINT (29.01847813000007 41.07242234200004),293.3088142730735
POINT (29.00881 41.04383),POINT (29.0004588 41.0487174),1040.9256079504373
POINT (29.00817 41.04469),POINT (29.0004588 41.0487174),940.4563956799284
POINT (29.0083 41.04438),POINT (29.0004588 41.0487174),966.3916162676338
POINT (29.00683 41.0437),POINT (29.0004588 41.0487174),858.8682333515582
POINT (29.02332 41.04995),POINT (29.016612 41.066644),1788.2204501922756
POINT (29.02813 41.05658),POINT (29.016612 41.066644),1609.6416075345749
POINT (29.00206 41.04529),POINT (29.0004588 41.0487174),378.18472036430757
POINT (29.0059 41.04817),POINT (29.0004588 41.0487174),605.4337926336635
POINT (29.02522 41.05218),POINT (29.016612 41.066644),1701.6899867075724
POINT (29.00564 41.04576),POINT (29.0004588 41.0487174),642.5045650164686
POINT (29.00753 41.06474),POINT (29.0084154 41.0687452),402.38240521068593
POINT (29.01207 41.04677),POINT (29.0004588 41.0487174),1300.84957999013
POINT (29.02288 41.04926),POINT (29.016612 41.066644),1830.5104446933146
POINT (29.00128 41.0572),POINT (28.9995352 41.0557256),240.9095368440087
POINT (29.00063 41.04859),POINT (29.0004588 41.0487174),22.67493289904423
POINT (29.02709 41.07847),POINT (29.02571553100006 41.07891799500004),158.46860021297152
POINT (29.01847 41.07478),POINT (29.0167598 41.0740579),202.18514581849593
POINT (29.01231 41.09063),POINT (29.01134024300007 41.08607120700003),456.9736369586482
POINT (29.00091 41.04827),POINT (29.0004588 41.0487174),66.34257077673932
POINT (28.99753 41.04439),POINT (29.0004588 41.0487174),532.1405415049217
POINT (29.02892 41.07222),POINT (29.0253075 41.0777839),673.8542191020902
POINT (29.00678 41.04444),POINT (29.0004588 41.0487174),815.205338707806
POINT (29.00183 41.04461),POINT (29.0004588 41.0487174),428.1008032587014
POINT (29.01124 41.09159),POINT (29.01134024300007 41.08607120700003),537.8014987002147
POINT (29.02843 41.07153),POINT (29.0253075 41.0777839),700.6562099728069
POINT (28.99978 41.04909),POINT (29.0004588 41.0487174),83.53715731834285
POINT (29.00545 41.04881),POINT (29.0004588 41.0487174),553.2772846106853
POINT (29.0053 41.04735),POINT (29.0004588 41.0487174),552.8722085148862
POINT (29.00325 41.04533),POINT (29.0004588 41.0487174),452.37743864527715
POINT (29.0017 41.0461),POINT (29.0004588 41.0487174),289.77171604474034
POINT (29.01142 41.04439),POINT (29.0004588 41.0487174),1285.9789955676554
POINT (29.00354 41.05867),POINT (28.9995352 41.0557256),528.5204230020262
POINT (29.00307 41.04597),POINT (29.0004588 41.0487174),394.23790113404726
POINT (29.00264 41.04897),POINT (29.0004588 41.0487174),243.00468603378349
POINT (29.00432 41.0556),POINT (28.9995352 41.0557256),530.4683062547185
POINT (29.00381 41.05362),POINT (29.0001178 41.0527306),418.30317402385657
POINT (29.03364 41.06226),POINT (29.03654855 41.07449),1234.1234725166732
POINT (29.02476 41.0501),POINT (29.016612 41.066644),1847.4792708005052
POINT (29.02785 41.05379),POINT (29.016612 41.066644),1766.2091202290592
POINT (29.02751 41.05147),POINT (29.016612 41.066644),1908.9655303167697
POINT (29.0236 41.05152),POINT (29.016612 41.066644),1664.552860571544
POINT (29.00432 41.05139000000001),POINT (29.0001178 41.0527306),483.72467202859747
POINT (29.00918 41.04612),POINT (29.0004588 41.0487174),999.2020564420849
POINT (29.00292 41.04577000000001),POINT (29.0004588 41.0487174),396.09355828587553
POINT (29.0238 41.04957),POINT (29.016612 41.066644),1844.2999179687038
POINT (29.00249 41.04721),POINT (29.0004588 41.0487174),268.8053388203506
POINT (29.02549 41.04963),POINT (29.016612 41.066644),1927.5719397302876
POINT (29.01147000000001 41.04392),POINT (29.0004588 41.0487174),1306.8861019073897
POINT (29.00289 41.05659),POINT (28.9995352 41.0557256),381.25167603633156
POINT (29.01843 41.0633),POINT (29.016612 41.066644),383.0604682352878
POINT (29.03709000000001 41.08859),POINT (29.03654855 41.07449),1374.7119695712433
POINT (29.03186 41.08337),POINT (29.02571553100006 41.07891799500004),807.3899123564589
POINT (29.02371 41.05133),POINT (29.016612 41.066644),1686.610518575993
POINT (29.00478 41.06453),POINT (29.0009636 41.065532),434.1147060859974
POINT (29.00792 41.05798),POINT (28.9995352 41.0557256),954.9427453794764
POINT (29.01046 41.06287),POINT (29.0084154 41.0687452),615.6462363809703
POINT (28.99932 41.04598),POINT (29.0004588 41.0487174),295.0865686908877
POINT (29.02326 41.05095),POINT (29.016612 41.066644),1697.2049989710515
POINT (28.99858 41.0453),POINT (29.0004588 41.0487174),392.7403809996217
POINT (29.0129 41.04717),POINT (29.0004588 41.0487174),1387.1489688083304
POINT (28.99957 41.0485),POINT (29.0004588 41.0487174),100.76265093077106
POINT (29.04343 41.06792),POINT (29.03654855 41.07449),995.6110229856629
POINT (29.04361 41.08296),POINT (29.03654855 41.07449),1137.1775144077244
POINT (29.00773 41.04754000000001),POINT (29.0004588 41.0487174),814.0336703957914
POINT (29.02235 41.05247),POINT (29.016612 41.066644),1520.258714292613
POINT (29.0067 41.04713),POINT (29.0004588 41.0487174),708.8290385300481
POINT (29.00103 41.04516),POINT (29.0004588 41.0487174),352.36081052064736
POINT (29.03369 41.08348),POINT (29.02571553100006 41.07891799500004),989.2882028003388
POINT (29.02397 41.04895),POINT (29.016612 41.066644),1906.9339130903288
POINT (29.02525 41.07487),POINT (29.0253075 41.0777839),283.929660044418
POINT (29.00194 41.06179),POINT (29.0009039 41.06547929999999),377.3736095844739
POINT (29.00635 41.05459000000001),POINT (29.0001178 41.0527306),714.1150558683196
