,point_of_origin,nearest_point,distance_in_meter
258,POINT (29.00135 41.04638),POINT (29.0004588 41.0487174),248.2492942387984
259,POINT (29.00858 41.05622),POINT (28.9995352 41.0557256),1003.644649219734
260,POINT (29.03075 41.08409),POINT (29.02571553100006 41.07891799500004),751.796407138339
261,POINT (29.00451 41.04485),POINT (29.0004588 41.0487174),586.1869839447022
262,POINT (29.00368 41.04538),POINT (29.0004588 41.0487174),482.92065107099137
263,POINT (29.00675 41.04326),POINT (29.0004588 41.0487174),876.9071696971214
264,POINT (29.00111 41.0608),POINT (29.0009039 41.06547929999999),456.5133437713114
265,POINT (29.00427 41.04309),POINT (29.0004588 41.0487174),692.160434509231
266,POINT (29.02292000000001 41.05469),POINT (29.016612 41.066644),1358.3164141744198
267,POINT (29.02147 41.05186),POINT (29.016612 41.066644),1537.62966325615
268,POINT (29.00342 41.04755),POINT (29.0004588 41.0487174),347.3592231679035
269,POINT (29.00766 41.04778),POINT (29.0004588 41.0487174),803.3599486335493
270,POINT (28.99936 41.04773),POINT (29.0004588 41.0487174),155.20476369329967
271,POINT (29.02273 41.06416),POINT (29.016612 41.066644),719.9815398346765
272,POINT (29.00824 41.05158),POINT (29.0001178 41.0527306),907.1845825394535
273,POINT (29.02667000000001 41.05106),POINT (29.016612 41.066644),1883.5076154951596
274,POINT (28.99821 41.04318),POINT (29.0004588 41.0487174),594.3492912484555
275,POINT (29.0422 41.07674),POINT (29.03654855 41.07449),663.6178454661767
276,POINT (29.02745 41.08442),POINT (29.02571553100006 41.07891799500004),569.4059190713863
277,POINT (28.99775 41.04632),POINT (29.0004588 41.0487174),380.40649314996034
278,POINT (29.00524 41.05492),POINT (29.0001178 41.0527306),606.4801087888586
279,POINT (29.00677 41.04548),POINT (29.0004588 41.0487174),767.3402704427107
280,POINT (29.04583 41.08498),POINT (29.03654855 41.07449),1449.896652632962
281,POINT (29.01012 41.08951),POINT (29.01134024300007 41.08607120700003),361.30582879364636
282,POINT (29.00728 41.05565),POINT (29.0001178 41.0527306),843.2537997593812
283,POINT (29.00242 41.04433),POINT (29.0004588 41.0487174),479.58770350944394
284,POINT (28.99907 41.04737),POINT (29.0004588 41.0487174),202.3140487498883
285,POINT (29.00258 41.04988),POINT (29.0004588 41.0487174),260.9728854745499
286,POINT (29.04078 41.08848),POINT (29.03654855 41.07449),1441.113971370349
287,POINT (29.02607 41.05084),POINT (29.016612 41.066644),1862.6059096366266
288,POINT (29.04378 41.06886),POINT (29.03654855 41.07449),971.145511094725
289,POINT (28.99993 41.04386),POINT (29.0004588 41.0487174),476.91398003948194
290,POINT (29.00668 41.05726),POINT (28.9995352 41.0557256),805.8890586608765
291,POINT (29.00222 41.04388),POINT (29.0004588 41.0487174),510.16723687793444
292,POINT (29.03342 41.08189),POINT (29.03654855 41.07449),799.8751677581187
293,POINT (29.00166 41.0492),POINT (29.0004588 41.0487174),141.19628889062756
294,POINT (29.00348 41.04681),POINT (29.0004588 41.0487174),382.9752549554643
295,POINT (29.00251 41.05679),POINT (28.9995352 41.0557256),345.64126620306365
296,POINT (29.02268 41.07344000000001),POINT (29.01847813000007 41.07242234200004),476.15417919942763
297,POINT (29.02107 41.07303),POINT (29.01847813000007 41.07242234200004),293.3088142730735
298,POINT (29.00881 41.04383),POINT (29.0004588 41.0487174),1040.9256079504373
299,POINT (29.00817 41.04469),POINT (29.0004588 41.0487174),940.4563956799284
300,POINT (29.0083 41.04438),POINT (29.0004588 41.0487174),966.3916162676338
301,POINT (29.00683 41.0437),POINT (29.0004588 41.0487174),858.8682333515582
302,POINT (29.02332 41.04995),POINT (29.016612 41.066644),1788.2204501922756
303,POINT (29.00383 41.04375),POINT (29.0004588 41.0487174),611.4555135869239
304,POINT (29.01812 41.06342),POINT (29.016612 41.066644),355.7933231917492
305,POINT (29.01979 41.07069),POINT (29.01847813000007 41.07242234200004),222.76444737134236
306,POINT (29.02813 41.05658),POINT (29.016612 41.066644),1609.6416075345749
307,POINT (29.00206 41.04529),POINT (29.0004588 41.0487174),378.18472036430757
308,POINT (29.02753 41.06773),POINT (29.01847813000007 41.07242234200004),1102.5034958630124
309,POINT (29.0059 41.04817),POINT (29.0004588 41.0487174),605.4337926336635
310,POINT (29.02522 41.05218),POINT (29.016612 41.066644),1701.6899867075724
311,POINT (29.00564 41.04576),POINT (29.0004588 41.0487174),642.5045650164686
312,POINT (29.00753 41.06474),POINT (29.0084154 41.0687452),402.38240521068593
313,POINT (29.01207 41.04677),POINT (29.0004588 41.0487174),1300.84957999013
314,POINT (29.02288 41.04926),POINT (29.016612 41.066644),1830.5104446933146
315,POINT (29.00128 41.0572),POINT (28.9995352 41.0557256),240.9095368440087
316,POINT (29.00063 41.04859),POINT (29.0004588 41.0487174),22.67493289904423
317,POINT (29.02709 41.07847),POINT (29.02571553100006 41.07891799500004),158.46860021297152
318,POINT (29.01847 41.07478),POINT (29.0167598 41.0740579),202.18514581849593
319,POINT (29.01231 41.09063),POINT (29.01134024300007 41.08607120700003),456.9736369586482
